epoch,d_loss,g_loss,real_score,fake_score,seconds
1,0.6586812139512637,1.838055363068214,0.7481855417673404,0.2489143556389862,7.590353965759277
2,0.9903439417099341,1.2381081680456798,0.6287379948756634,0.36811903587136513,6.330569505691528
3,0.9707714307766694,1.323783856553909,0.6386512147310452,0.3610090147226285,6.542607307434082
4,0.9881722525908396,1.2698945315220418,0.6340457338553208,0.36456282398639583,6.876811504364014
5,0.9901651033224204,1.2713467948711836,0.6340226427866862,0.3627067413658668,6.901955604553223
6,0.948269648429675,1.313645743788817,0.6477471993137629,0.3499238984898115,6.427812099456787
7,0.9469350553475894,1.327367024926039,0.6514156504701345,0.34680977864907336,5.921271324157715
8,0.9522821406523386,1.3181545661810117,0.649844425993088,0.34900592993467283,5.972257614135742
9,0.9851289937893549,1.2920122799965053,0.6414712931101139,0.3573113401921896,6.439732789993286
10,1.0045768859294744,1.2965856931912594,0.6377244979525224,0.3611988006876065,5.766415357589722
11,1.0076942122899568,1.2695243889704728,0.6350977480029448,0.36250366557102937,6.306852579116821
12,1.0805916285667665,1.2025032093127568,0.616405667975927,0.3830468485561701,6.733553171157837
13,1.0555375164900072,1.2075969534806716,0.6203336918201202,0.3784011594760112,5.52432656288147
14,1.083195638962281,1.1682140494768436,0.6112419674411799,0.3878952417618189,5.664039134979248
15,1.0888744340493128,1.1658484798211317,0.6097980961203575,0.38844544488268024,5.152630805969238
16,1.090046967451389,1.1703361505881333,0.610671491194994,0.3880129281717997,5.546689510345459
17,1.1149051961226342,1.1736038281367376,0.6037587584593357,0.3955806484207129,5.490352153778076
18,1.12852915815818,1.137229180488831,0.5997726880969145,0.4000597139581656,4.840385437011719
19,1.1272514726106937,1.1498825588287451,0.600673143298198,0.39773600835066575,4.687130451202393
20,1.1229413052399952,1.1422150108294609,0.5999338233318084,0.40008288889359206,4.611211776733398
21,1.1353486356062767,1.1202436979764547,0.595175316509528,0.40269587848048943,4.606878042221069
22,1.1407081247904363,1.1137628532372987,0.5948667703912809,0.40534283698369294,4.338496446609497
23,1.1304806684836364,1.125707318003361,0.5970517043501903,0.40144467181884325,4.148539304733276
24,1.1477985275097382,1.1046169858712416,0.5928146615624428,0.4072332253249792,4.206312656402588
25,1.1469833919635186,1.1093445202478995,0.5915723418196043,0.40632677030486936,4.167810440063477
26,1.154617727566988,1.0836248374902284,0.5882705228450971,0.411453096052775,4.486648797988892
27,1.1447603618487334,1.1012086130869694,0.5918755943958576,0.4073259635613515,4.217544794082642
28,1.1693503841375694,1.1031403446044676,0.5874785866874915,0.4119082209773553,4.390462160110474
29,1.1525723930352774,1.091004124054542,0.5886652649213107,0.41031120259028214,4.304708003997803
30,1.1770625297839825,1.08617747708773,0.5840790732166706,0.41471165323104614,4.355172872543335
31,1.1630117404155242,1.0710797195251172,0.5850675228314522,0.4141273735425411,4.2735326290130615
32,1.1771601071724525,1.0715077511775188,0.5834214964356178,0.41613344771739763,4.169540882110596
33,1.1751653850078583,1.0791866523333085,0.5844280670086542,0.4159520412675845,4.157170295715332
34,1.1648894166335082,1.0865391492843628,0.58577410895855,0.41269762938221294,4.264408588409424
35,1.1810616079049232,1.059075985963528,0.5809300360389245,0.41858811791126543,3.924163818359375
36,1.1720852355162303,1.0669669352280788,0.5836363553236692,0.4158061924271094,4.794125318527222
37,1.1723979986630952,1.066076153363937,0.5829410694348507,0.41602438344405246,4.6347572803497314
38,1.1916196537323487,1.064069049862715,0.5792736636522489,0.41975440295078814,4.587102174758911
39,1.1753852122869246,1.0586165636777878,0.582945279394969,0.41684942463269603,5.2396931648254395
40,1.1725038901353493,1.0585205451800273,0.5811472439613098,0.416868718006672,5.781548261642456
41,1.1745550074638464,1.0894201239332175,0.5835195359511253,0.4150403962494471,6.5685484409332275
42,1.1729966233938167,1.0613515743842492,0.5830607297710884,0.4172783572322283,6.755674123764038
43,1.1642657480178735,1.0750304804398463,0.5846454113339766,0.4141240075039558,7.557983636856079
44,1.1682980962288685,1.0821033441103423,0.5855115820200015,0.4138344667660884,6.7324378490448
45,1.1626702073292854,1.0724828159197783,0.584777441735451,0.4147723504366019,8.079652309417725
46,1.1704086401523688,1.0787467020444381,0.5851156495702572,0.41402893761793774,7.1564719676971436
47,1.1759982177844415,1.0782728783595257,0.5833862060919787,0.41612197363223785,7.4838457107543945
48,1.1618559925984113,1.0747625082731247,0.5848635849662316,0.41311657715302247,6.4583210945129395
49,1.1549156636763842,1.080339714884758,0.5879834160590783,0.41236599515645933,6.57058048248291
50,1.1678145676851273,1.077971094311812,0.5848671299142715,0.41312838326662016,7.136017799377441
