epoch,train_loss,val_loss,val_ppl
1,5.383537183842661,3.971530793016391,53.065701301199354
2,3.7478763127161328,3.9573753837338113,52.31982611920923
3,3.648002756095001,3.848775769112413,46.935568072924276
4,3.542541388350698,3.7479374016312295,42.43346847251187
5,3.419624565375499,3.6168764915846827,37.22112556361156
6,3.2792180509142455,3.489641399454892,32.774192755304426
7,3.1492550189416164,3.3630652986559784,28.877573738076542
8,2.9953792131234542,3.2429892832501572,25.610163470143423
9,2.845133611656083,3.1070079744010792,22.354060320956826
10,2.714153200400134,3.01908653038101,20.472582058423914
11,2.6051715283575083,2.915103854086631,18.450728486803296
12,2.50311695642748,2.8410679200046376,17.134053568897105
13,2.4193205752078493,2.7614967840865368,15.823509609277437
14,2.342865551156222,2.706698062711226,14.979731630043824
15,2.276539011005484,2.6497524563511115,14.15053533663182
16,2.2248028494359815,2.604165515994788,13.519938421677425
17,2.1576449541739655,2.5524600342919403,12.838648481761144
18,2.109193725053953,2.526526400573236,12.509975931964298
19,2.0592339132384567,2.5141418265582915,12.356000636358187
20,2.0236471606168056,2.452894561605858,11.621938495991857
21,1.9850542175803907,2.428973783875939,11.347231391144495
22,1.933536690427276,2.4048713888610687,11.077005564269522
23,1.89928021450943,2.3728753720732993,10.728195531317475
24,1.8526991822303536,2.3499078016328694,10.484603016885647
25,1.824880512139726,2.3229714893640723,10.205956182901778
26,1.784119898317101,2.284607547179719,9.821830862320825
27,1.747609668426919,2.270891637873471,9.688035183224411
28,1.7179185721793369,2.2554492831527444,9.539578319306619
29,1.680378469487429,2.279901063353046,9.775713185398592
30,1.6597343113503262,2.2174160563737675,9.183570353109786
31,1.6282349707985782,2.189921460246802,8.934511372823627
32,1.5903511894543316,2.167596198674152,8.737256149513339
33,1.574799004651402,2.158606991803557,8.65906710177681
34,1.532023849417153,2.135733498896744,8.463252016733149
35,1.4980350097296526,2.117462783085735,8.310026377796587
36,1.4810638262341838,2.106893261769169,8.2226559221812
37,1.4477135166617183,2.106762881885443,8.221583923143221
38,1.427229012525174,2.092678625982004,8.106600658824807
39,1.4001517081484778,2.103223107104884,8.192532815239586
40,1.3807587692286465,2.0658337329688514,7.891874871820512
41,1.3511276265090955,2.0720581369209765,7.941150284909821
42,1.3438730457630945,2.0521023873973667,7.784249422922398
43,1.3260729672180958,2.0038461051974212,7.4175299075284515
44,1.2967028335303152,1.9963949645249326,7.362466247043832
45,1.2697024223850268,1.972216697107824,7.1865893366459
46,1.249648607965874,1.9765849627758796,7.218050934395741
47,1.236470763104567,1.9545418487819948,7.060683421850673
48,1.2170832728092458,1.9736738835189704,7.197069170651202
49,1.193498215238854,1.9121879856485382,6.767880636168954
50,1.1750808410075522,1.9247730143944224,6.853592822411643
51,1.1664505726252472,1.9041097196854855,6.713428133406812
52,1.1299799092945197,1.9148901338291882,6.78619318298178
53,1.12082168617003,1.8959904115396247,6.6591404292104865
54,1.1015272369714089,1.936287248223797,6.932962757850482
55,1.0960855262105105,1.889757975973096,6.6177668286305344
56,1.0790859772007368,1.8822826117351465,6.568481055210334
57,1.0603553123945697,1.8842989096320477,6.581738430665474
58,1.0364603411922368,1.8207584705733302,6.176541398615454
59,1.020714723593759,1.8294165800337185,6.230250745315912
60,0.9927969705244937,1.8019609463185147,6.061522137329518
61,0.9834271558557767,1.8250060188502741,6.202832352911719
62,0.9659070721513454,1.796475025186515,6.028360150135793
63,0.9454823182244958,1.7695199688176562,5.8680358450041314
64,0.9201349125110133,1.7834926700948777,5.950603661317533
65,0.9195424532057268,1.7769880871523052,5.912023077574905
66,0.8984711940648071,1.7706943667143062,5.874931302170644
67,0.8899465822837379,1.7692654843342275,5.86654271093116
68,0.872586890513136,1.7593177684821988,5.808473318779298
69,0.8574336866091162,1.7332042202985198,5.65875679350598
70,0.8461397489480306,1.719828572951053,5.583571207093893
71,0.8201250273400927,1.7212457769826761,5.591489876579236
72,0.801733640733913,1.7058773254813102,5.506214290867426
73,0.7877268432523457,1.696876873101974,5.456878227846411
74,0.7752065744066804,1.6948782932431323,5.445983111934245
75,0.7589847447193053,1.6814786671403044,5.37349571109558
76,0.7446585430337012,1.7013792664630158,5.481502632932587
77,0.7456822758871631,1.6700538368593725,5.312453795310378
78,0.7176696490184307,1.6422913303399027,5.166995251709278
79,0.7038331950227241,1.603919830405504,4.972485573105361
80,0.6767709615964231,1.6153998473041373,5.029898712878025
81,0.6654916670695586,1.6160361304544748,5.03310017108588
82,0.6590234808864328,1.595741530903557,4.931984935729402
83,0.632864636112146,1.5978477898975858,4.942383920992375
84,0.6197000083555043,1.584621912077478,4.877446926076617
85,0.6106742144386087,1.5784028322619392,4.847207821512684
86,0.5853307260924278,1.563435098476838,4.775196373736152
87,0.5894532680608907,1.5509308603339065,4.715857945178339
88,0.5725879931345149,1.5359780434658403,4.645867168659368
89,0.5461620408440299,1.560056946521388,4.759092251170024
90,0.546608985201115,1.5229665861462713,4.585809234212415
91,0.5250496759212987,1.5009810717920413,4.486088086588213
92,0.5161651217229862,1.493158357844983,4.451131608273618
93,0.4842951535618349,1.502742676366297,4.493997764699155
94,0.4919686063448166,1.4959657321547035,4.46364515768981
95,0.4725941854228791,1.4504700615221722,4.265118912325094
96,0.44693786918532374,1.4260503935100433,4.162227524190465
97,0.4242521460245325,1.4339034266008106,4.195042313842888
98,0.4189429680729672,1.416928307373922,4.124431975410436
99,0.4119456056604397,1.432257704158079,4.188144116374906
100,0.4011859762690532,1.4117766428469423,4.1032389221305
101,0.3963278461815534,1.3781626862183474,3.9676051909281305
102,0.3849806781747071,1.3759499804634703,3.958835753759108
103,0.38414974785917966,1.4010949301303472,4.059642559193224
104,0.3608072583815201,1.37668289597195,3.961738309412659
105,0.3488206231854719,1.396606492580024,4.041461938901383
106,0.3569267868727726,1.3682367230888615,3.928417696646601
107,0.3350195119642315,1.3524731278716775,3.8669772437252408
108,0.31467201237379894,1.338497184161236,3.8133084967078217
109,0.32512406389787335,1.3369743707322717,3.8075059585330995
110,0.2956927059120093,1.3215018759047301,3.7490477556320894
111,0.2995697094023252,1.3217815154805743,3.750096284354525
112,0.2843251516490651,1.3431499767630475,3.831092370525186
113,0.27851986168938164,1.2878412903098395,3.624952882567822
114,0.2741840032713726,1.3268925200525366,3.7693121078598386
115,0.26369930790683227,1.3368096141297918,3.806878698461488
116,0.26603658693417465,1.3383182187627378,3.8126261074969614
117,0.2553452413679874,1.2862757032648882,3.6192821434724243
118,0.2375562220909277,1.2951737908353829,3.6516305389207715
119,0.23020632443839206,1.2781976416075318,3.590163130101581
120,0.223656499716497,1.2911736497706605,3.6370526778377315
121,0.22691776861505553,1.2817390240041395,3.6028998100272105
122,0.22095733244028393,1.290394240706936,3.6342190304440605
123,0.2195719759721,1.296278029160012,3.6556650364226626
124,0.20588457858715928,1.3058391014239437,3.690784737472518
125,0.20870751565726475,1.2601886576324923,3.5260866477785475
126,0.19234907828974734,1.2389032310455517,3.4518255328187384
127,0.18990441422999318,1.2635656855350124,3.538014469732857
128,0.18535580370661967,1.2725148306523177,3.5698187730529933
129,0.18521194150545767,1.2471764105513803,3.480501562483104
130,0.18399326237771868,1.2446857877725972,3.471843732180199
131,0.16782943749724966,1.2478107144113193,3.482709958381688
132,0.17723073809121062,1.2601342107589704,3.5258946686111887
133,0.16700628069490134,1.2714280885948506,3.5659414080841727
134,0.16549639507038133,1.2464618886869745,3.4780155562762736
135,0.15379304992370718,1.2284090032898578,3.4157906990861084
136,0.14871390449194505,1.2394365723293619,3.453667024908127
137,0.14998787828779336,1.2436188238665944,3.468141375722268
