epoch,loss
1,3.541584101274109
2,2.987805867045606
3,2.822370464521477
4,2.719989587616009
5,2.6445741327126915
6,2.593128143342923
7,2.554249340063507
8,2.5224744376207453
9,2.495954783790934
10,2.474061059421306
11,2.4567987032941976
12,2.4397386077704635
13,2.4265125150881706
14,2.416346443695283
15,2.405462501350363
16,2.3984351292049158
17,2.388711059993937
18,2.383741896900295
19,2.3782849005416073
20,2.3726268775249406
21,2.3684266207766016
22,2.3652198247431473
23,2.3610152697589935
24,2.357583627000239
25,2.3561515670254036
26,2.3527813523377152
27,2.350889646276376
28,2.3473692970108124
29,2.3479882376371877
30,2.345817679547797
31,2.3427132162588515
32,2.3406207601620768
33,2.3386712081766023
34,2.3387036983443172
35,2.3384708938663996
36,2.3360149194126993
37,2.3350536264682606
38,2.334445369211121
39,2.3329394460886603
40,2.3327181480959087
