epoch,phase,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr
1,scratch,4.17872261882484,0.07689035570223689,0.062481761391824535,3.932369680719407,0.12013201320132014,0.08783345752420373,0.009993147673772868
2,scratch,3.7487438107481097,0.14157682434910157,0.12402217951194827,3.4981787605411543,0.18244224422442243,0.15928673856695283,0.009972609476841365
3,scratch,3.4167802394962066,0.20124679134580126,0.18521754663545062,3.2235568456681256,0.2370957095709571,0.21657978341834752,0.009938441702975687
4,scratch,3.1278591808155425,0.2597873120645398,0.24570194902567144,3.006263770364692,0.28435643564356433,0.2650102630455815,0.009890738003669027
5,scratch,2.8841016773151136,0.30823615694902823,0.2961925914818561,2.5701322451361728,0.3692409240924092,0.3553242557027968,0.009829629131445338
6,scratch,2.6946010867903247,0.34804547121378804,0.33789420396284614,2.3859494139416384,0.41095709570957095,0.396798959587116,0.009755282581475766
7,scratch,2.518816519045856,0.3864613127979465,0.3775325149088252,2.3249069527037465,0.4374917491749175,0.4254499083108301,0.009667902132486006
8,scratch,2.380884785853247,0.4160909424275761,0.4087781880757774,2.1366093611323795,0.47075907590759075,0.46756984956298875,0.009567727288213002
9,scratch,2.270261791248133,0.44004400440044006,0.4339101133436301,1.9819712113547245,0.5091749174917491,0.4966613275192302,0.009455032620941837
10,scratch,2.1664711479061816,0.4641290795746241,0.4583854619101755,1.9413907605035863,0.5178877887788779,0.5142893629114541,0.009330127018922192
11,scratch,2.07419010332665,0.485045837917125,0.4797493921066537,1.7697764584569649,0.5555115511551155,0.5482965730104358,0.009193352839727118
12,scratch,1.9888215263116302,0.5016795012834617,0.4968680871880267,1.778472408068062,0.5508910891089109,0.5476090574224066,0.009045084971874735
13,scratch,1.9187382798986992,0.5205573890722406,0.5164723010766809,1.759575265122719,0.5597359735973597,0.554715243977736,0.008885729807284854
14,scratch,1.850245826198017,0.5364283094976164,0.5328190578581032,1.6737285604886096,0.5745214521452146,0.5713760711772625,0.00871572412738697
15,scratch,1.8004616003802376,0.5462266226622662,0.5427998269072427,1.5991424769851634,0.5955115511551156,0.5914130762195802,0.008535533905932736
16,scratch,1.740903133221673,0.56,0.5565701437878089,1.5889431312296651,0.6003960396039604,0.5994841143112044,0.00834565303179429
17,scratch,1.695830217352008,0.5696222955628896,0.5666853629748099,1.5146059400571061,0.6141254125412541,0.6079434039876636,0.008146601955249185
18,scratch,1.634329591925257,0.5837770443711038,0.5808886586168664,1.5120453802901919,0.6175577557755776,0.612393576281007,0.007938926261462363
19,scratch,1.597644766764541,0.5937953795379538,0.5910766830453216,1.622691590006989,0.5966996699669967,0.5972573647440673,0.007723195175075133
20,scratch,1.5551832094286928,0.6034763476347634,0.6012385603692305,1.4804041498014242,0.6261386138613861,0.6227618707926634,0.007499999999999997
21,scratch,1.512378430193407,0.6146094609460946,0.6124438134039425,1.4265044486483331,0.6462046204620462,0.6422915733851565,0.007269952498697731
22,scratch,1.4716645865410642,0.6245251191785846,0.6222197098216368,1.3541980684393704,0.6559735973597359,0.6520998394803058,0.007033683215378999
23,scratch,1.4316137820703012,0.6323432343234323,0.6304576233172469,1.4183793735032035,0.646072607260726,0.644805614539392,0.0067918397477265005
24,scratch,1.3920199257137578,0.6413641364136413,0.6395004828816733,1.3573176111246492,0.6561056105610561,0.6558759845518716,0.006545084971874736
25,scratch,1.3606837886989358,0.6491529152915292,0.6473895277812659,1.370321291114631,0.664026402640264,0.663481824064898,0.006294095225512602
26,scratch,1.3278030257142854,0.6564429776310965,0.6549213151638892,1.2785962021547577,0.6753795379537954,0.6717845061715682,0.006039558454088794
27,scratch,1.2923924505575086,0.6637183718371837,0.6622910893537647,1.3066440084822502,0.6720792079207921,0.669863028412475,0.005782172325201153
28,scratch,1.2671297180761905,0.6722405573890723,0.6708982220791712,1.2984570447997292,0.6712871287128713,0.6669245710341755,0.005522642316338266
29,scratch,1.2386942202886646,0.6772717271727172,0.6760941906765553,1.2622980062717652,0.6843564356435644,0.6804405827582145,0.005261679781214717
30,scratch,1.2042768341654773,0.6870847084708471,0.685775594882195,1.239909694249874,0.6895049504950495,0.6889619509432846,0.005
31,scratch,1.1866698348517815,0.69003300330033,0.6889190911707163,1.283892655467043,0.6805280528052805,0.6782040195182186,0.0047383202187852805
32,scratch,1.1541657509679624,0.6992592592592592,0.6979780174401973,1.1933491783960424,0.6992739273927393,0.6971489720208767,0.004477357683661733
33,scratch,1.1211890228038575,0.706916024935827,0.7059717224799609,1.1889025993158322,0.7015181518151815,0.7001568167799347,0.004217827674798845
34,scratch,1.0924716715835414,0.7146461312797946,0.7135775913512072,1.1854782822895364,0.70996699669967,0.70782649415746,0.003960441545911202
35,scratch,1.0557784424800334,0.722992299229923,0.7220753072412943,1.2262669630176557,0.6998019801980198,0.6994214117116958,0.003705904774487396
36,scratch,1.0325377879948856,0.7284928492849285,0.7276552632458048,1.208023237883061,0.7083828382838284,0.7054352794644314,0.0034549150281252623
37,scratch,1.0133078208772264,0.7327612761276128,0.7318931910284394,1.175519426380447,0.7074587458745875,0.7061116240139774,0.003208160252273498
38,scratch,0.9866757112586284,0.74000733406674,0.7393333610281104,1.1647483410221515,0.7118151815181518,0.7111807602282182,0.002966316784620999
39,scratch,0.9599367626945221,0.7467546754675467,0.7460816764155292,1.1597532098285437,0.7137953795379538,0.7123707620713093,0.0027300475013022655
40,scratch,0.9240435009978392,0.7555848918225155,0.7549319054676706,1.1630585698168663,0.7114191419141914,0.7108363863681058,0.0025000000000000005
41,scratch,0.9104038408294807,0.76,0.7594475027102912,1.159868061975284,0.7177557755775578,0.7172063911898481,0.0022768048249248657
42,scratch,0.8751468873373702,0.7695196186285295,0.7688219958589065,1.1623543343843012,0.7170957095709571,0.7168125979891903,0.0020610737385376343
43,scratch,0.861004821497921,0.7742427576090942,0.7735994758699101,1.1582869158168831,0.7213201320132013,0.7211572995461564,0.001853398044750813
44,scratch,0.8372429828710245,0.7798019801980198,0.7792845984522037,1.1306170250322953,0.7239603960396039,0.7238004829868115,0.0016543469682057102
45,scratch,0.8143191443199547,0.7844811147781445,0.7841026446154027,1.137973639988663,0.7230363036303631,0.7208297000239632,0.0014644660940672624
46,scratch,0.7924829104692455,0.790993766043271,0.7905579682117676,1.1273492104778982,0.7280528052805281,0.725764938537328,0.0012842758726130297
47,scratch,0.7682439901079501,0.7983571690502383,0.7980506856534095,1.1518410760734734,0.7281848184818482,0.7266881439592605,0.0011142701927151454
48,scratch,0.7559441181570347,0.8031243124312432,0.8026996401613562,1.1317375570083215,0.7326732673267327,0.731662936554364,0.0009549150281252632
49,scratch,0.7519421722130938,0.801936193619362,0.8016401546964237,1.1212052404762494,0.7295049504950495,0.7277043060917103,0.0008066471602728801
50,scratch,0.7249750791244731,0.8100183351668501,0.8097608852758857,1.1255131680737234,0.7309570957095709,0.7298403813760934,0.0006698729810778063
51,scratch,0.7085751360294187,0.8151668500183352,0.8148721127547632,1.1290028954024363,0.7325412541254125,0.7311541308801841,0.000544967379058161
52,scratch,0.7011353955261865,0.8167070040337367,0.816341217460492,1.1268210147158935,0.7326732673267327,0.7322538916922737,0.00043227271178699505
53,scratch,0.6827518174339661,0.824011734506784,0.8237676749866806,1.1211162994246278,0.7338613861386138,0.7326782962568328,0.0003320978675139912
54,scratch,0.6788314238309773,0.822955628896223,0.8225972653788254,1.1161026631566164,0.7343894389438944,0.7333592021770745,0.0002447174185242323
55,scratch,0.6657394654347777,0.8268426842684269,0.82663857309514,1.1198208083728753,0.7343894389438944,0.733740554656786,0.0001703708685546584
56,scratch,0.6633286337936409,0.828045471213788,0.8277719163481088,1.1178089221161192,0.7372937293729372,0.7359909499929196,0.00010926199633097154
57,scratch,0.660430384148247,0.8295122845617895,0.8292035213844376,1.1091870380470854,0.7343894389438944,0.7333929977868195,6.155829702431169e-05
58,scratch,0.6635633404297754,0.8275320865419875,0.8273222390963815,1.1074512902659552,0.735973597359736,0.7349823745640455,2.7390523158632992e-05
59,scratch,0.658149880052356,0.8296002933626696,0.829353349254162,1.104366695463854,0.7367656765676568,0.7357030254080824,6.8523262271308335e-06
60,scratch,0.6537042687933305,0.8305537220388706,0.8302726466029828,1.1083163642253813,0.7363696369636964,0.7355473600005893,0.0
