epoch,phase,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr
1,finetune_head,3.8358645631106816,0.2307884121745508,0.21202721557286472,2.935208138915965,0.43643564356435643,0.40720373270406124,0.001
2,finetune_head,2.917088124380472,0.3988705537220389,0.3767521018232508,2.3877974888515157,0.49056105610561057,0.4675592210357782,0.001
3,finetune_head,2.5661328113879045,0.44016134946828017,0.42554675762443894,2.1249095171749,0.5194719471947195,0.5020525359542999,0.001
4,finetune_head,2.3881834604734022,0.4632196552988632,0.45161855282045366,1.9921176636258369,0.5417821782178218,0.5274645237419016,0.001
5,finetune_head,2.279066180437967,0.47752108544187755,0.4673891466559472,1.8738798043908853,0.5662046204620462,0.5554238663141329,0.0001
6,finetune_head,2.2186449323716424,0.4902970297029703,0.4811393218231659,1.8705469175219143,0.5601320132013201,0.5488633972954711,0.0001
7,finetune_head,2.2073037540812086,0.4925852585258526,0.4836736097108804,1.8717623976276259,0.5647524752475247,0.5532036483858896,0.0001
8,finetune_head,2.2018710823814467,0.4910744407774111,0.4818726227837454,1.8543452717683497,0.5671287128712871,0.555581224336476,0.0001
9,finetune_head,2.198484990595897,0.4927906123945728,0.48409784019823127,1.8468898520768673,0.5651485148514851,0.552159401005185,0.0001
10,finetune_head,2.193253045592677,0.49364136413641363,0.4849384924589914,1.8598864807783573,0.5626402640264027,0.5529418425031468,1e-05
11,finetune_all,1.959734678118055,0.53000366703337,0.522824916236532,1.4821160869944607,0.6320792079207921,0.6254161871906685,9.98458666866564e-05
12,finetune_all,1.7488988585379432,0.5735826916024935,0.5688125367986452,1.3517110408965511,0.6584818481848185,0.652733499907736,9.938441702975689e-05
13,finetune_all,1.6222457550050227,0.6020682068206821,0.5979840406506254,1.2684089601000543,0.6753795379537954,0.6706688960494724,9.861849601988383e-05
14,finetune_all,1.5460094085157594,0.6173377337733773,0.6138912194608925,1.2002697799072013,0.6893729372937294,0.6854478226257089,9.755282581475767e-05
15,finetune_all,1.4839781139270263,0.62999633296663,0.6268711492262342,1.1727196212806323,0.6967656765676568,0.6917528623862912,9.619397662556432e-05
16,finetune_all,1.4292696294148064,0.6419361936193619,0.6389631811976343,1.1244138025529313,0.7070627062706271,0.7043745244129516,9.455032620941837e-05
17,finetune_all,1.3924404921355071,0.650971763843051,0.64853743825256,1.0957516858443963,0.7166996699669967,0.7129081389793566,9.26320082177046e-05
18,finetune_all,1.346009807847208,0.6612834616795012,0.6587714791297368,1.0664169558597476,0.7239603960396039,0.7208042371056747,9.045084971874737e-05
19,finetune_all,1.319518764039121,0.668089475614228,0.6657945963250566,1.0498741632562265,0.7267326732673267,0.7240897834132772,8.802029828000154e-05
20,finetune_all,1.2819132780145717,0.6751595159515952,0.6729703888943595,1.0147438869067151,0.7363696369636964,0.7333285390692288,8.535533905932737e-05
21,finetune_all,1.2601406183354706,0.6805867253392006,0.678606622427023,0.9986707252401723,0.7398019801980198,0.7374643715124785,8.247240241650918e-05
22,finetune_all,1.2390346920022521,0.6870700403373671,0.6852997431834087,0.9887406439513656,0.7457425742574257,0.7431570504875249,7.938926261462365e-05
23,finetune_all,1.2174333949608378,0.6911624495782912,0.6893815559182694,0.9744681525623837,0.746006600660066,0.7438209458496315,7.612492823579742e-05
24,finetune_all,1.1946836422282696,0.6961789512284562,0.6942497122608582,0.9631043330120175,0.7523432343234323,0.7500242673975978,7.269952498697731e-05
25,finetune_all,1.176795838660795,0.6985698569856986,0.6968817106230591,0.9560278331643284,0.7494389438943895,0.7472735198525023,6.913417161825447e-05
26,finetune_all,1.1652213984546445,0.7020755408874221,0.7003330424128786,0.9519749963401568,0.7504950495049505,0.7487507663672919,6.545084971874736e-05
27,finetune_all,1.144070208589367,0.7064613127979464,0.7047585440247387,0.942970226196566,0.7551155115511551,0.7522682305187742,6.167226819279526e-05
28,finetune_all,1.1336748660926552,0.7105537220388706,0.7089793892654374,0.9260899559499407,0.758943894389439,0.7564614768031148,5.7821723252011525e-05
29,finetune_all,1.1196873512222603,0.7127979464613128,0.7113488146769318,0.9324154716907161,0.7561716171617162,0.7536771071518592,5.392295478639223e-05
30,finetune_all,1.1127410472213106,0.7152035203520352,0.7137429926713019,0.9118776529299544,0.7611881188118812,0.7595103119116672,4.999999999999998e-05
31,finetune_all,1.108692293681196,0.7165383204987166,0.7151403407645546,0.9119122051327142,0.762904290429043,0.7605607903772555,4.607704521360774e-05
32,finetune_all,1.096276967660997,0.7183718371837183,0.7167096050135648,0.9086598166223406,0.7622442244224422,0.7605029958345301,4.217827674798845e-05
33,finetune_all,1.089298201857533,0.7213348001466814,0.719950558971287,0.8963141576213018,0.7671287128712871,0.7656613019051576,3.832773180720472e-05
34,finetune_all,1.0794172520929524,0.724928492849285,0.7235658982206165,0.902910051566146,0.7631683168316832,0.7614374397702431,3.4549150281252616e-05
35,finetune_all,1.0746560639315663,0.7253978731206454,0.7240413363153806,0.8888637684674153,0.7725412541254125,0.7710228851219366,3.08658283817455e-05
36,finetune_all,1.0728811734562878,0.7236083608360836,0.7223106586143156,0.8909489628977508,0.7675247524752475,0.7655833674906586,2.730047501302265e-05
37,finetune_all,1.0658808027119877,0.7254712137880455,0.7242477338034645,0.8892984562109012,0.7672607260726073,0.7659044527047978,2.387507176420255e-05
38,finetune_all,1.059062407007137,0.7271287128712871,0.72589741258175,0.8861630497041708,0.7700330033003301,0.7683481238022131,2.061073738537634e-05
39,finetune_all,1.056787956720925,0.7287422075540887,0.7273988912080261,0.8833019629563436,0.7726732673267327,0.7705532692689286,1.7527597583490816e-05
40,finetune_all,1.0491605792729286,0.7312357902456912,0.7300309766477299,0.877017926870793,0.7717491749174917,0.7701385221998183,1.464466094067262e-05
41,finetune_all,1.0494652266112448,0.7305170517051706,0.7292402919537235,0.8758721781878581,0.7721452145214521,0.7707609582432882,1.1979701719998447e-05
42,finetune_all,1.0405140940190936,0.7324679134580124,0.7310868862615034,0.8763156671807317,0.7726732673267327,0.7715341255201045,9.549150281252628e-06
43,finetune_all,1.0471365590265131,0.7308250825082508,0.7295744385708676,0.8811753198415926,0.7713531353135313,0.7696269808992783,7.367991782295387e-06
44,finetune_all,1.041224846102005,0.731983865053172,0.7306924115784916,0.877544789865072,0.7746534653465347,0.7730592447301756,5.449673790581608e-06
45,finetune_all,1.0343917254471369,0.7343894389438944,0.7331429053391636,0.879632306964484,0.7710891089108911,0.7696506876522287,3.806023374435661e-06
