epoch,phase,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr
1,finetune_head,4.283164850367178,0.1775870920425376,0.1649325375706001,3.863898194788313,0.34033003300330034,0.29929132323761126,0.001
2,finetune_head,3.7144570847627745,0.31474880821415474,0.2823174919737509,3.332131976294439,0.38943894389438943,0.34662255740906783,0.001
3,finetune_head,3.342259123973196,0.35127246057939127,0.32153861677418294,2.9752350962043987,0.4194059405940594,0.38395816276128153,0.001
4,finetune_head,3.092846127287302,0.3761496149614961,0.3510483902906024,2.780827769886936,0.43683168316831683,0.4044488573608812,0.001
5,finetune_head,2.9106496081266555,0.39554088742207555,0.37290665100775455,2.5725372830003796,0.4621782178217822,0.43675579748669696,0.0001
6,finetune_head,2.8320797039153685,0.4027869453612028,0.3830705718178253,2.558563127832444,0.46534653465346537,0.44037973306773565,0.0001
7,finetune_head,2.824797142131625,0.4017748441510818,0.38243888274452337,2.5646786509095247,0.4613861386138614,0.4356906243622144,0.0001
8,finetune_head,2.809097503131241,0.4066886688668867,0.38754080054579676,2.549476677136059,0.4627062706270627,0.43647371229909887,0.0001
9,finetune_head,2.7949264057328684,0.4086982031536487,0.38906757208878284,2.498526021340499,0.46996699669966996,0.44546740695098647,0.0001
10,finetune_head,2.7835077349694606,0.40997433076641,0.39117817099685015,2.5212748652165478,0.46851485148514854,0.4444023351589935,1e-05
11,finetune_all,2.4517344081957,0.4365089842317565,0.42225413437010495,1.926532140612209,0.5376897689768977,0.5203122523104567,9.98458666866564e-05
12,finetune_all,2.1322314577308994,0.48640997433076644,0.47743139187690165,1.6932570114072794,0.5815181518151815,0.5703871700239154,9.938441702975689e-05
13,finetune_all,1.9675407820846031,0.5175504217088376,0.5102753491409991,1.5701618757657092,0.6112211221122112,0.6018821781026884,9.861849601988383e-05
14,finetune_all,1.8460642075057776,0.5487202053538687,0.5429171442701031,1.470584221547193,0.6294389438943895,0.6231499427412327,9.755282581475767e-05
15,finetune_all,1.7542649226158933,0.5645031169783645,0.5590239589626818,1.4003922435710139,0.6473927392739274,0.6411189765310199,9.619397662556432e-05
16,finetune_all,1.6736149865294885,0.5820902090209021,0.5773456524073821,1.3353382008461276,0.665082508250825,0.6603246866999856,9.455032620941837e-05
17,finetune_all,1.6121247451489864,0.5958342500916758,0.591808293204882,1.2800859739914192,0.6748514851485149,0.6685265441065541,9.26320082177046e-05
18,finetune_all,1.559407795034226,0.608991565823249,0.6049330883864076,1.2390655808873696,0.6875247524752475,0.6830285925722943,9.045084971874737e-05
19,finetune_all,1.513291743309628,0.6183058305830583,0.6148748455132016,1.1925950129354748,0.6962376237623762,0.6918013073452026,8.802029828000154e-05
20,finetune_all,1.4726034532854047,0.6299376604327099,0.6266207270968398,1.1737818051014008,0.7000660066006601,0.6955403191302866,8.535533905932737e-05
21,finetune_all,1.440239981484142,0.6355408874220756,0.6323740922485039,1.1395443902314693,0.7041584158415841,0.6993464119184789,8.247240241650918e-05
22,finetune_all,1.4050956672410366,0.6434030069673634,0.6404376732400684,1.1168053089903527,0.7095709570957096,0.7055517697294446,7.938926261462365e-05
23,finetune_all,1.3775086361853945,0.648976897689769,0.6462730027931044,1.1009095418413875,0.7177557755775578,0.7136637177259392,7.612492823579742e-05
24,finetune_all,1.3565782436207183,0.6555042170883755,0.652805019706805,1.081638732349912,0.7210561056105611,0.7171052332943763,7.269952498697731e-05
25,finetune_all,1.3327996452990407,0.6604620462046205,0.6579749687348596,1.070090261670229,0.7226402640264027,0.7190175656894429,6.913417161825447e-05
26,finetune_all,1.3141362558059917,0.6631316464979832,0.6606348222172254,1.0569154156631368,0.7264686468646865,0.7224140875501939,6.545084971874736e-05
27,finetune_all,1.2967032185359713,0.6666079941327466,0.6644034684595945,1.0418879466481727,0.7308250825082508,0.727432220703753,6.167226819279526e-05
28,finetune_all,1.2847186401207717,0.6714044737807114,0.669246300236504,1.026903120393407,0.7366336633663366,0.7332852896429102,5.7821723252011525e-05
29,finetune_all,1.270486224976747,0.6738247158049139,0.6715151001229736,1.0172290100594952,0.737029702970297,0.7340391410080499,5.392295478639223e-05
30,finetune_all,1.251411423233782,0.6770663733039971,0.674800211768198,1.0074700372840706,0.7357095709570957,0.7330397621811156,4.999999999999998e-05
31,finetune_all,1.2396901412232262,0.6824055738907224,0.6804235443933436,0.9973525627375436,0.73993399339934,0.7371911403164529,4.607704521360774e-05
32,finetune_all,1.2284232276973157,0.6828309497616428,0.680752501950005,0.9933360115372308,0.7446864686468647,0.7417705631152318,4.217827674798845e-05
33,finetune_all,1.222551759587656,0.6861606160616062,0.684047552372033,0.9878225063726846,0.7436303630363036,0.7404150520647105,3.832773180720472e-05
34,finetune_all,1.2100813884895976,0.6889035570223689,0.6868231449470931,0.9814717843430271,0.7434983498349835,0.7412450852625414,3.4549150281252616e-05
35,finetune_all,1.2084789270772398,0.6893436010267694,0.687381481795243,0.9809345933076965,0.7457425742574257,0.7429840339271131,3.08658283817455e-05
36,finetune_all,1.199959810228631,0.6911037770443711,0.6893392281069848,0.9734583452117719,0.7489108910891089,0.746660679995506,2.730047501302265e-05
37,finetune_all,1.1942741767906382,0.6926879354602127,0.6907528110627161,0.9777860046141218,0.7473267326732673,0.7446192721189503,2.387507176420255e-05
38,finetune_all,1.1793170723357305,0.6952695269526953,0.6932592503844981,0.9685390987333291,0.7494389438943895,0.7463775564411842,2.061073738537634e-05
39,finetune_all,1.1778376368825847,0.6971617161716172,0.6952866357747437,0.9620812283412065,0.7487788778877887,0.7461095688519196,1.7527597583490816e-05
40,finetune_all,1.1783625353707208,0.6967363403006968,0.6949694115208833,0.9591973976569601,0.7470627062706271,0.7438887862467304,1.464466094067262e-05
41,finetune_all,1.1721689801448687,0.6979097909790979,0.6961259984797794,0.9623745415785132,0.7497029702970297,0.7474944730616767,1.1979701719998447e-05
42,finetune_all,1.177665803324927,0.6952548588192152,0.6934379313101968,0.9589087976008752,0.7499669966996699,0.7471578960262067,9.549150281252628e-06
43,finetune_all,1.1650674244192087,0.700902090209021,0.6989297491760506,0.9570886760340273,0.7504950495049505,0.7479736077011566,7.367991782295387e-06
44,finetune_all,1.1749803658409523,0.6985258525852586,0.6967576442592968,0.9664512493744148,0.7487788778877887,0.7455921019715998,5.449673790581608e-06
45,finetune_all,1.167203794385996,0.6966776677667766,0.6946489619257992,0.9683882693803744,0.7491749174917491,0.7460658063816077,3.806023374435661e-06
46,finetune_all,1.163402111188457,0.6987312064539787,0.6968677425385985,0.9574770337598946,0.7473267326732673,0.7447255469976075,2.447174185242322e-06
47,finetune_all,1.1665524915447592,0.6994059405940594,0.6973755497881154,0.9501134134991335,0.7532673267326733,0.7505479138616526,1.3815039801161715e-06
48,finetune_all,1.1654498565087705,0.6994499449944994,0.6976043991377999,0.9542347984974927,0.753003300330033,0.7502871162700802,6.155829702431167e-07
49,finetune_all,1.1599034592551891,0.6993179317931794,0.6972851262328478,0.9675951339073307,0.7495709570957095,0.7466158177438341,1.5413331334360174e-07
50,finetune_all,1.1611475189098475,0.6991419141914191,0.6975036970320264,0.9617427339018768,0.747986798679868,0.7451561053483177,0.0
